seq_id	loci
@M05522:50:000000000-BW89L:1:1114:12191:9482	TRB
@M05522:50:000000000-BW89L:1:2107:13035:2686	TRB
@M05522:50:000000000-BW89L:1:1112:16489:21823	TRB
@M05522:50:000000000-BW89L:1:1101:22724:14591	TRA
@M05522:50:000000000-BW89L:1:1101:19491:3324	TRB
@M05522:50:000000000-BW89L:1:1105:17463:2140	TRB
@M05522:50:000000000-BW89L:1:1105:21398:21512	TRB
@M05522:50:000000000-BW89L:1:1110:21216:5715	TRB
@M05522:50:000000000-BW89L:1:1105:11027:6057	TRB
@M05522:50:000000000-BW89L:1:1101:22535:13695	TRB
@M05522:50:000000000-BW89L:1:2114:22490:3958	TRB
@M05522:50:000000000-BW89L:1:2101:26709:8180	TRB
@M05522:50:000000000-BW89L:1:1104:8570:4023	TRB
@M05522:50:000000000-BW89L:1:1104:19336:19221	TRA
@M05522:50:000000000-BW89L:1:1106:26046:8324	TRA
@M05522:50:000000000-BW89L:1:1111:13891:12331	TRB
@M05522:50:000000000-BW89L:1:1111:2146:16124	TRA
@M05522:50:000000000-BW89L:1:2112:25532:22509	TRB
@M05522:50:000000000-BW89L:1:2110:23818:20091	TRA
@M05522:50:000000000-BW89L:1:2113:4054:18504	TRB
@M05522:50:000000000-BW89L:1:1102:23218:10573	TRB
@M05522:50:000000000-BW89L:1:2110:10704:25329	TRA
@M05522:50:000000000-BW89L:1:1109:5040:7674	TRA
@M05522:50:000000000-BW89L:1:2109:24242:16610	TRA
@M05522:50:000000000-BW89L:1:1112:11408:27666	TRB
@M05522:50:000000000-BW89L:1:1101:14931:27113	TRB
@M05522:50:000000000-BW89L:1:2111:26248:8897	TRB
@M05522:50:000000000-BW89L:1:2101:14272:15942	TRB
@M05522:50:000000000-BW89L:1:1103:21900:26248	TRB
@M05522:50:000000000-BW89L:1:1107:19376:18939	TRB
@M05522:50:000000000-BW89L:1:2112:20765:23443	TRB
@M05522:50:000000000-BW89L:1:1104:23492:8655	TRB
@M05522:50:000000000-BW89L:1:2103:20521:26072	TRB
@M05522:50:000000000-BW89L:1:1102:9321:5100	TRB
@M05522:50:000000000-BW89L:1:2104:20435:19598	TRB
@M05522:50:000000000-BW89L:1:2109:13364:21610	TRB
@M05522:50:000000000-BW89L:1:1105:25999:23472	TRA
@M05522:50:000000000-BW89L:1:2101:23692:18158	TRB
@M05522:50:000000000-BW89L:1:2110:21696:22285	TRB
